Name,Type,min_power,max_power,min_frequency,max_frequency,Link
Автоакустика Infinity REF-5032CFX,коаксиальная АС,45 Вт,135 Вт,67 Гц,21 000 Гц,https://auto.1k.by/digital-caracoustics/infinity/Infinity_REF_5032CFX-4755294.html
Автоакустика JBL Stage 122D,сабвуфер,250 Вт,1 000 Вт,34 Гц,200 Гц,https://auto.1k.by/digital-caracoustics/jbl/JBL_Stage_122D-4547156.html
Автоакустика Урал Патриот 12,сабвуфер,900 Вт,200 Вт,None,None,https://auto.1k.by/digital-caracoustics/ural/Yral_Patriot_12-4718376.html
Автоакустика Kicx HeadShot M65,мидбас,150 Вт,300 Вт,110 Гц,15 000 Гц,https://auto.1k.by/digital-caracoustics/kicx/Kicx_HeadShot_M65-3756997.html
Автоакустика JBL Stage2 9634,коаксиальная АС,70 Вт,420 Вт,50 Гц,21 000 Гц,https://auto.1k.by/digital-caracoustics/jbl/JBL_Stage2_9634-4050507.html
Автоакустика Урал ТТ-165 Гром,среднечастотная АС,150 Вт,300 Вт,90 Гц,13 000 Гц,https://auto.1k.by/digital-caracoustics/ural/Yral_TT_165_Grom-4588619.html
Автоакустика Урал ЧЕ 006,широкополосная АС,125 Вт,None,90 Гц,12 000 Гц,https://auto.1k.by/digital-caracoustics/ural/Yral_CHE_006-4659715.html
Автоакустика ACV CRAFT B8A,сабвуфер,200 Вт,600 Вт,35 Гц,150 Гц,https://auto.1k.by/digital-caracoustics/acv/ACV_CRAFT_B8A-4734454.html
Автоакустика DL Audio Piranha 12A SE,сабвуфер,600 Вт,None,25 Гц,300 Гц,https://auto.1k.by/digital-caracoustics/dlaudio/DL_Audio_Piranha_12A_SE-5004079.html
Автоакустика Урал ТТ 165 Драйв,мидбас,110 Вт,None,100 Гц,12 500 Гц,https://auto.1k.by/digital-caracoustics/ural/Yral_TT_165_Draiiv-4695666.html
Автоакустика Урал Классик АС-К6947,коаксиальная АС,200 Вт,None,52 Гц,22 000 Гц,https://auto.1k.by/digital-caracoustics/ural/Yral_Klassik_AS_K6947-4698358.html
Автоакустика ACV BTA-6,сабвуфер,75 Вт,300 Вт,35 Гц,250 Гц,https://auto.1k.by/digital-caracoustics/acv/ACV_BTA_6-3929039.html
Автоакустика Урал Патриот 12 Гром,сабвуфер,1 500 Вт,None,None,None,https://auto.1k.by/digital-caracoustics/ural/Yral_Patriot_12_Grom-4718375.html
Автоакустика ACV Craft B12A,сабвуфер,300 Вт,1 500 Вт,30 Гц,150 Гц,https://auto.1k.by/digital-caracoustics/acv/ACV_Craft_B12A-4587220.html
Автоакустика Урал ПМН-2,сабвуфер,200 Вт,None,20 Гц,150 Гц,https://auto.1k.by/digital-caracoustics/ural/Yral_PMN_2-4666611.html
Автоакустика ACV PG6.2S,компонентная АС,65 Вт,200 Вт,50 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/acv/ACV_PG62S-4817514.html
Автоакустика Урал Патриот 10,сабвуфер,800 Вт,1 600 Вт,None,None,https://auto.1k.by/digital-caracoustics/ural/Yral_Patriot_10-5036955.html
Автоакустика Урал AC-У12A Серый,сабвуфер,300 Вт,900 Вт,20 Гц,250 Гц,https://auto.1k.by/digital-caracoustics/ural/Yral_AC_Y12A_Seryiii-5036959.html
Автоакустика KICX Q200BA,сабвуфер,300 Вт,600 Вт,50 Гц,150 Гц,https://auto.1k.by/digital-caracoustics/kicx/KICX_Q200BA-4741946.html
Автоакустика EDGE EDST216C-E6,компонентная АС,60 Вт,180 Вт,65 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/edge/EDGE_EDST216C_E6-2981259.html
Автоакустика Pioneer TS-G1320F,коаксиальная АС,35 Вт,250 Вт,33 Гц,24 000 Гц,https://auto.1k.by/digital-caracoustics/pioneer/Pioneer_TS_G1320F-3058863.html
Автоакустика Prology Kraken Bass Box-8,сабвуфер,100 Вт,200 Вт,20 Гц,150 Гц,https://auto.1k.by/digital-caracoustics/prology/Prology_Kraken_Bass_Box_8-4910228.html
Автоакустика Урал АС-Б1327К,компонентная АС,120 Вт,None,68 Гц,23 000 Гц,https://auto.1k.by/digital-caracoustics/ural/Yral_AS_B1327K-5034394.html
Автоакустика EDGE EDBX69-E1,коаксиальная АС,150 Вт,300 Вт,45 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/edge/EDGE_EDBX69_E1-4716832.html
Автоакустика Kicx GT 12R,сабвуфер,300 Вт,600 Вт,None,None,https://auto.1k.by/digital-caracoustics/kicx/Kicx_GT_12R-3444033.html
Автоакустика УРАЛ Bulava 10 V.2,сабвуфер,800 Вт,1 600 Вт,None,None,https://auto.1k.by/digital-caracoustics/ural/YRAL_Bulava_10_V2-4445188.html
Автоакустика Kicx RX 693,коаксиальная АС,180 Вт,300 Вт,50 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/kicx/Kicx_RX_693-3654153.html
Автоакустика JBL Stage2 634,коаксиальная АС,40 Вт,250 Вт,55 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/jbl/JBL_Stage2_634-4097423.html
Автоакустика Урал АС-А1325К Авангард,компонентная АС,100 Вт,200 Вт,47 Гц,21 500 Гц,https://auto.1k.by/digital-caracoustics/ural/Yral_AS_A1325K_Avangard-4512041.html
Автоакустика JBL Stage1 601C,компонентная АС,40 Вт,200 Вт,55 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/jbl/JBL_Stage1_601C-3945319.html
Автоакустика Infinity Alpha 6930,коаксиальная АС,70 Вт,490 Вт,50 Гц,21 000 Гц,https://auto.1k.by/digital-caracoustics/infinity/Infinity_Alpha_6930-4547099.html
Автоакустика Урал Патриот 6.5,сабвуфер,500 Вт,800 Вт,None,None,https://auto.1k.by/digital-caracoustics/ural/Yral_Patriot_65-4140637.html
Автоакустика Урал ТТ 12 (красный),сабвуфер,500 Вт,1 100 Вт,None,None,https://auto.1k.by/digital-caracoustics/ural/Yral_TT_12_krasnyiii-4547054.html
Автоакустика Kicx LL 6.5 VER.2,мидбас,150 Вт,300 Вт,95 Гц,13 000 Гц,https://auto.1k.by/digital-caracoustics/kicx/Kicx_LL_65_VER2-3122523.html
Автоакустика Pioneer TS-G6930F,коаксиальная АС,45 Вт,400 Вт,32 Гц,32 000 Гц,https://auto.1k.by/digital-caracoustics/pioneer/Pioneer_TS_G6930F-3058859.html
Автоакустика Урал Классик АС-К1627К,компонентная АС,140 Вт,None,62 Гц,23 000 Гц,https://auto.1k.by/digital-caracoustics/ural/Yral_Klassik_AS_K1627K-4755293.html
Автоакустика Aura Fireball-i7102,коаксиальная АС,101 Вт,221 Вт,40 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/aura/Aura_Fireball_i7102-4939738.html
Автоакустика Infinity REF6532EX,коаксиальная АС,55 Вт,165 Вт,57 Гц,21 000 Гц,https://auto.1k.by/digital-caracoustics/infinity/Infinity_REF6532EX-3246245.html
Автоакустика AMP Hybrid FR80M38,широкополосная АС,200 Вт,400 Вт,70 Гц,9 000 Гц,https://auto.1k.by/digital-caracoustics/amp/AMP_Hybrid_FR80M38-4569186.html
Автоакустика Aura VENOM-CL69X,коаксиальная АС,101 Вт,201 Вт,40 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/aura/Aura_VENOM_CL69X-4817519.html
Автоакустика Kicx SL 165,коаксиальная АС,50 Вт,100 Вт,65 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/kicx/Kicx_SL_165-206487.html
Автоакустика JBL Stage1 9631,коаксиальная АС,60 Вт,300 Вт,50 Гц,21 000 Гц,https://auto.1k.by/digital-caracoustics/jbl/JBL_Stage1_9631-3756989.html
Автоакустика Урал ТТ 25 Гром,твитер,50 Вт,None,3 000 Гц,22 000 Гц,https://auto.1k.by/digital-caracoustics/ural/Yral_TT_25_Grom-4652637.html
Автоакустика Kicx DC694MR,коаксиальная АС,90 Вт,180 Вт,50 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/kicx/Kicx_DC694MR-691183.html
Автоакустика Урал АС-М165 Молот,широкополосная АС,90 Вт,180 Вт,73 Гц,17 000 Гц,https://auto.1k.by/digital-caracoustics/ural/Yral_AS_M165_Molot-4476654.html
Автоакустика Урал АК-47.C М,компонентная АС,180 Вт,None,48 Гц,22 000 Гц,https://auto.1k.by/digital-caracoustics/ural/Yral_AK_47C_M-4548236.html
Автоакустика Best Balance E65,коаксиальная АС,40 Вт,80 Вт,60 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/bestbalance/Best_Balance_E65-4724478.html
Автоакустика Best Balance E6.5C Black Edition,компонентная АС,40 Вт,80 Вт,60 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/bestbalance/Best_Balance_E65C_Black_Edition-4726637.html
Автоакустика Kicx GX-693,коаксиальная АС,100 Вт,200 Вт,50 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/kicx/Kicx_GX_693-2842041.html
Автоакустика ACV BBA-12R,сабвуфер,300 Вт,1 500 Вт,30 Гц,150 Гц,https://auto.1k.by/digital-caracoustics/acv/ACV_BBA_12R-4050489.html
Автоакустика Урал Патриот АС-ПТ30 Элемент,твитер,30 Вт,None,4 000 Гц,19 000 Гц,https://auto.1k.by/digital-caracoustics/ural/Yral_Patriot_AS_PT30_Element-4617850.html
Автоакустика DL Audio Barracuda 12A Flat,сабвуфер,300 Вт,800 Вт,20 Гц,250 Гц,https://auto.1k.by/digital-caracoustics/dlaudio/DL_Audio_Barracuda_12A_Flat-4669670.html
Автоакустика Урал ТТ 200 Гром,среднечастотная АС,150 Вт,None,80 Гц,10 000 Гц,https://auto.1k.by/digital-caracoustics/ural/Yral_TT_200_Grom-4700620.html
Автоакустика Pioneer TS-A6988S,коаксиальная АС,120 Вт,700 Вт,29 Гц,33 000 Гц,https://auto.1k.by/digital-caracoustics/pioneer/Pioneer_TS_A6988S-4965301.html
Автоакустика Aura Venom-CL10,сабвуфер,151 Вт,301 Вт,None,None,https://auto.1k.by/digital-caracoustics/aura/Aura_Venom_CL10-5014815.html
Автоакустика ACV FEST F12D2,сабвуфер,350 Вт,1 000 Вт,28 Гц,1 200 Гц,https://auto.1k.by/digital-caracoustics/acv/ACV_FEST_F12D2-4155035.html
Автоакустика Урал ТТ 15 (красный),сабвуфер,500 Вт,1 100 Вт,None,None,https://auto.1k.by/digital-caracoustics/ural/Yral_TT_15_krasnyiii-4557399.html
Автоакустика Pioneer TS-A6978S,коаксиальная АС,100 Вт,650 Вт,29 Гц,33 000 Гц,https://auto.1k.by/digital-caracoustics/pioneer/Pioneer_TS_A6978S-4965302.html
Автоакустика ACV SW-10D2F,сабвуфер,300 Вт,800 Вт,35 Гц,500 Гц,https://auto.1k.by/digital-caracoustics/acv/ACV_SW_10D2F-5013944.html
Автоакустика DL Audio Gryphon Lite 200 V.2,среднечастотная АС,70 Вт,None,80 Гц,13 000 Гц,https://auto.1k.by/digital-caracoustics/dlaudio/DL_Audio_Gryphon_Lite_200_V2-4670873.html
Автоакустика KICX Headshot Q80,среднечастотная АС,300 Вт,600 Вт,78 Гц,14 500 Гц,https://auto.1k.by/digital-caracoustics/kicx/KICX_Headshot_Q80-4803780.html
Автоакустика DL Audio Phoenix Sport 165,среднечастотная АС,150 Вт,None,130 Гц,13 000 Гц,https://auto.1k.by/digital-caracoustics/dlaudio/DL_Audio_Phoenix_Sport_165-5013953.html
Автоакустика DL Audio Piranha 15 V2,сабвуфер,300 Вт,None,None,None,https://auto.1k.by/digital-caracoustics/dlaudio/DL_Audio_Piranha_15_V2-5034403.html
Автоакустика Урал ПАТРИОТ АС-ПТ165.2,среднечастотная АС,300 Вт,600 Вт,110 Гц,13 000 Гц,https://auto.1k.by/digital-caracoustics/ural/Yral_PATRIOT_AS_PT1652-5036958.html
Автоакустика Kicx DC 6.2MR,компонентная АС,55 Вт,110 Вт,75 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/kicx/Kicx_DC_62MR-1500051.html
Автоакустика Pioneer TS-R6951S,коаксиальная АС,50 Вт,400 Вт,31 Гц,35 000 Гц,https://auto.1k.by/digital-caracoustics/pioneer/Pioneer_TS_R6951S-2580913.html
Автоакустика Урал Molot 12,сабвуфер,300 Вт,600 Вт,None,None,https://auto.1k.by/digital-caracoustics/ural/Yral_Molot_12-3103887.html
Автоакустика ACV VALID V12D2,сабвуфер,750 Вт,2 300 Вт,28 Гц,700 Гц,https://auto.1k.by/digital-caracoustics/acv/ACV_VALID_V12D2-4293453.html
Автоакустика Vibe audio PULSEC8A-V0,сабвуфер,80 Вт,240 Вт,None,None,https://auto.1k.by/digital-caracoustics/vibe/Vibe_audio_PULSEC8A_V0-4547211.html
Автоакустика DL Audio Barracuda 10A Flat,сабвуфер,600 Вт,None,23 Гц,230 Гц,https://auto.1k.by/digital-caracoustics/dlaudio/DL_Audio_Barracuda_10A_Flat-5052572.html
Автоакустика УРАЛ AS-W165MB,мидбас,180 Вт,360 Вт,36 Гц,7 000 Гц,https://auto.1k.by/digital-caracoustics/ural/YRAL_AS_W165MB-1991383.html
Автоакустика Урал АС-У12А Активный,сабвуфер,300 Вт,900 Вт,20 Гц,250 Гц,https://auto.1k.by/digital-caracoustics/ural/Yral_AS_Y12A_Aktivnyiii-4741947.html
Автоакустика Aura Venom-CL12,сабвуфер,201 Вт,401 Вт,None,None,https://auto.1k.by/digital-caracoustics/aura/Aura_Venom_CL12-5014816.html
Автоакустика УРАЛ AS-C1627K,компонентная АС,140 Вт,None,62 Гц,23 000 Гц,https://auto.1k.by/digital-caracoustics/ural/YRAL_AS_C1627K-907099.html
Автоакустика DL Audio Piranha 8A,сабвуфер,500 Вт,None,25 Гц,210 Гц,https://auto.1k.by/digital-caracoustics/dlaudio/DL_Audio_Piranha_8A-4693055.html
Автоакустика Урал АС-К1327К,компонентная АС,120 Вт,None,68 Гц,23 000 Гц,https://auto.1k.by/digital-caracoustics/ural/Yral_AS_K1327K-4952600.html
Автоакустика EDGE EDST216-E6,коаксиальная АС,60 Вт,120 Вт,65 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/edge/EDGE_EDST216_E6-2975977.html
Автоакустика JBL Stage3 607C,компонентная АС,50 Вт,150 Вт,55 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/jbl/JBL_Stage3_607C-3647689.html
Автоакустика Swat MAS-12VB,сабвуфер,300 Вт,None,None,None,https://auto.1k.by/digital-caracoustics/swat/Swat_MAS_12VB-4602030.html
Автоакустика Aura Indigo-CL69X,коаксиальная АС,81 Вт,161 Вт,40 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/aura/Aura_Indigo_CL69X-4939733.html
Автоакустика Sony XS-GTF1639,коаксиальная АС,45 Вт,270 Вт,55 Гц,24 000 Гц,https://auto.1k.by/digital-caracoustics/sony/Sony_XS_GTF1639-4698354.html
Автоакустика KENWOOD KFC-S1676EX,коаксиальная АС,60 Вт,330 Вт,80 Гц,22 000 Гц,https://auto.1k.by/digital-caracoustics/kenwood/KENWOOD_KFC_S1676EX-3203179.html
Автоакустика Aura Monstro-80,среднечастотная АС,221 Вт,401 Вт,80 Гц,14 000 Гц,https://auto.1k.by/digital-caracoustics/aura/Aura_Monstro_80-4988079.html
Автоакустика Digma DCA-T602,коаксиальная АС,140 Вт,280 Вт,60 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/digma/Digma_DCA_T602-3654175.html
Автоакустика Kicx GT 12M,сабвуфер,500 Вт,800 Вт,None,None,https://auto.1k.by/digital-caracoustics/kicx/Kicx_GT_12M-3725209.html
Автоакустика Kicx DTC 36 ver.2,твитер,40 Вт,80 Вт,2 500 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/kicx/Kicx_DTC_36_ver2-4433244.html
Автоакустика Урал АС-ПТ200,среднечастотная АС,180 Вт,360 Вт,102 Гц,11 500 Гц,https://auto.1k.by/digital-caracoustics/ural/Yral_AS_PT200-4528272.html
Автоакустика Урал ЧЕ 03,твитер,80 Вт,None,3 000 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/ural/Yral_CHE_03-4666612.html
Автоакустика DL Audio Piranha 12,сабвуфер,250 Вт,None,None,None,https://auto.1k.by/digital-caracoustics/dlaudio/DL_Audio_Piranha_12-4669674.html
Автоакустика KICX SP 693,коаксиальная АС,100 Вт,200 Вт,45 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/kicx/KICX_SP_693-4684499.html
Автоакустика Aura Venom-CL5X,коаксиальная АС,61 Вт,101 Вт,60 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/aura/Aura_Venom_CL5X-4939735.html
Автоакустика Kicx ICQ 694,коаксиальная АС,160 Вт,320 Вт,45 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/kicx/Kicx_ICQ_694-170935.html
Автоакустика Kicx PD 652,коаксиальная АС,40 Вт,80 Вт,70 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/kicx/Kicx_PD_652-173111.html
Автоакустика Pioneer TS-300D4,сабвуфер,400 Вт,1 400 Вт,20 Гц,100 Гц,https://auto.1k.by/digital-caracoustics/pioneer/Pioneer_TS_300D4-3103891.html
Автоакустика Digma DCS-80,сабвуфер,150 Вт,150 Вт,None,None,https://auto.1k.by/digital-caracoustics/digma/Digma_DCS_80-3114061.html
Автоакустика EDGE EDB6W-E0,широкополосная АС,100 Вт,200 Вт,70 Гц,15 500 Гц,https://auto.1k.by/digital-caracoustics/edge/EDGE_EDB6W_E0-4510671.html
Автоакустика Pioneer TS-M2010PRO,среднечастотная АС,180 Вт,400 Вт,45 Гц,18 000 Гц,https://auto.1k.by/digital-caracoustics/pioneer/Pioneer_TS_M2010PRO-4557443.html
Автоакустика KICX LL6.5 ver.3,среднечастотная АС,200 Вт,400 Вт,95 Гц,13 000 Гц,https://auto.1k.by/digital-caracoustics/kicx/KICX_LL65_ver3-4855514.html
Автоакустика Aura VENOM-CL6-TW,твитер,51 Вт,91 Вт,1 800 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/aura/Aura_VENOM_CL6_TW-4948854.html
Автоакустика Best Balance E65 Black Edition,коаксиальная АС,40 Вт,80 Вт,60 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/bestbalance/Best_Balance_E65_Black_Edition-4724479.html
Автоакустика ACV SW-12D2F,сабвуфер,350 Вт,1 000 Вт,30 Гц,500 Гц,https://auto.1k.by/digital-caracoustics/acv/ACV_SW_12D2F-5013943.html
Автоакустика Phantom FS-693,коаксиальная АС,100 Вт,200 Вт,50 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/phantom/Phantom_FS_693-170102.html
Автоакустика Урал AS-W87M SQ,мидбас,100 Вт,None,150 Гц,11 000 Гц,https://auto.1k.by/digital-caracoustics/ural/Yral_AS_W87M_SQ-3098771.html
Автоакустика Kicx Gorilla Bass GBL65,мидбас,100 Вт,200 Вт,120 Гц,12 000 Гц,https://auto.1k.by/digital-caracoustics/kicx/Kicx_Gorilla_Bass_GBL65-3133995.html
Автоакустика EDGE ED225-E8,коаксиальная АС,50 Вт,150 Вт,80 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/edge/EDGE_ED225_E8-3647685.html
Автоакустика Урал АС-М57 Молот,широкополосная АС,90 Вт,180 Вт,100 Гц,17 000 Гц,https://auto.1k.by/digital-caracoustics/ural/Yral_AS_M57_Molot-4476648.html
Автоакустика KICX HeadShot E65,эстрадная АС,140 Вт,280 Вт,135 Гц,12 000 Гц,https://auto.1k.by/digital-caracoustics/kicx/KICX_HeadShot_E65-4587311.html
Автоакустика KICX HeadShot N65,среднечастотная АС,150 Вт,300 Вт,160 Гц,10 000 Гц,https://auto.1k.by/digital-caracoustics/kicx/KICX_HeadShot_N65-4587312.html
Автоакустика KICX LL80 ver.3,среднечастотная АС,250 Вт,500 Вт,80 Гц,14 500 Гц,https://auto.1k.by/digital-caracoustics/kicx/KICX_LL80_ver3-4855515.html
Автоакустика DL Audio Barracuda 8 Flat,сабвуфер,200 Вт,None,None,None,https://auto.1k.by/digital-caracoustics/dlaudio/DL_Audio_Barracuda_8_Flat-5034404.html
Автоакустика KENWOOD KFC-S6966,коаксиальная АС,45 Вт,400 Вт,35 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/kenwood/KENWOOD_KFC_S6966-3161691.html
Автоакустика AMP Hybrid FR65M34,широкополосная АС,150 Вт,300 Вт,80 Гц,10 000 Гц,https://auto.1k.by/digital-caracoustics/amp/AMP_Hybrid_FR65M34-4564723.html
Автоакустика Aura Fireball-12.D2,сабвуфер,351 Вт,701 Вт,30 Гц,400 Гц,https://auto.1k.by/digital-caracoustics/aura/Aura_Fireball_12D2-4782113.html
Автоакустика УРАЛ AS-W50M,мидбас,120 Вт,None,750 Гц,10 000 Гц,https://auto.1k.by/digital-caracoustics/ural/YRAL_AS_W50M-224352.html
Автоакустика Alpine SXE-2035s,коаксиальная АС,45 Вт,280 Вт,40 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/alpine/Alpine_SXE_2035s-290385.html
Автоакустика Kicx STC 6.2,компонентная АС,90 Вт,180 Вт,65 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/kicx/Kicx_STC_62-357063.html
Автоакустика Kicx STC 652,коаксиальная АС,75 Вт,150 Вт,70 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/kicx/Kicx_STC_652-363642.html
Автоакустика Calcell CP-525C,компонентная АС,150 Вт,None,None,None,https://auto.1k.by/digital-caracoustics/calcell/Calcell_CP_525C-395081.html
Автоакустика JVC CS-J520X,коаксиальная АС,30 Вт,250 Вт,40 Гц,22 000 Гц,https://auto.1k.by/digital-caracoustics/jvc/JVC_CS_J520X-1211363.html
Автоакустика ACV PD-691,широкополосная АС,80 Вт,240 Вт,70 Гц,25 000 Гц,https://auto.1k.by/digital-caracoustics/acv/ACV_PD_691-3945309.html
Автоакустика Урал Ураган АС-У12А комбо,сабвуфер,1 100 Вт,None,20 Гц,240 Гц,https://auto.1k.by/digital-caracoustics/ural/Yral_Yragan_AS_Y12A_kombo-4435471.html
Автоакустика Урал AC-A1625K,компонентная АС,110 Вт,230 Вт,41 Гц,21 500 Гц,https://auto.1k.by/digital-caracoustics/ural/Yral_AC_A1625K-4547013.html
Автоакустика JVC CS-DR520,коаксиальная АС,40 Вт,260 Вт,85 Гц,25 000 Гц,https://auto.1k.by/digital-caracoustics/jvc/JVC_CS_DR520-2497983.html
Автоакустика Kicx STC 693,коаксиальная АС,100 Вт,250 Вт,50 Гц,22 000 Гц,https://auto.1k.by/digital-caracoustics/kicx/Kicx_STC_693-175523.html
